name,category,type,district,wgs_lng,wgs_lat
麦鲁小城儿童职业体验乐园(欢乐谷店),sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030596,30.720894
DISK'O',sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033545,30.724341
撸一吧网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.027156,30.729182
KAKA汽车,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028376,30.72516
神树天梯,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031392,30.728136
武道联盟,sports,体育休闲服务;运动场馆;运动场所|科教文化服务;培训机构;培训机构,金牛区,104.027422,30.729355
深海探奇,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.028404,30.724381
稻草人农家乐,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.023668,30.727359
鹰凡高尔夫俱乐部,sports,体育休闲服务;高尔夫相关;高尔夫球场,金牛区,104.026859,30.725525
加勒比风暴,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033059,30.725551
华侨城儿童生活馆,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030976,30.721141
迷情别院,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.03068,30.727921
高空表演场,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.033329,30.724859
DJI大疆无人机(欢乐谷体验店),sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.029453,30.723166
阳光海滩,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033077,30.726507
正天影城(华侨城店),sports,体育休闲服务;影剧院;电影院,金牛区,104.033967,30.721361
大摆锤,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.03383,30.724448
欢乐剧场,sports,体育休闲服务;影剧院;剧场,金牛区,104.033871,30.723692
霹雳火,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033688,30.724224
碰碰车,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.034144,30.724139
FF纯K.PARTY,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.035842,30.722439
幽灵惊魂,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.034388,30.724251
旋转飞椅,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033699,30.723879
神枪手,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033983,30.724347
欢乐时光,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033902,30.724751
巨蟒滑道,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.035522,30.725556
龙卷风,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.034078,30.725772
水上DISCO,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.034752,30.72613
临水雅园,sports,餐饮服务;中餐厅;特色/地方风味餐厅|体育休闲服务;休闲场所;休闲场所,金牛区,104.043327,30.726222
金府量贩KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.041367,30.719416
异度空间,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.034138,30.724495
盖尔森国际击剑中心,sports,体育休闲服务;运动场馆;运动场所,金牛区,104.037068,30.724067
华侨城网球中心,sports,体育休闲服务;运动场馆;网球场,金牛区,104.035341,30.725277
华美达国际俱乐部,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.041293,30.719639
群雄娱乐竞技中心,sports,体育休闲服务;娱乐场所;游戏厅,金牛区,104.033795,30.72202
非凡KTV(北三环路一段辅路),sports,体育休闲服务;娱乐场所;KTV,金牛区,104.036304,30.722886
西丰网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.052949,30.724984
森林网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.05258,30.725006
红房子农家乐,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.046311,30.719415
众横时代网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.049178,30.726619
政通路社区老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.048809,30.727653
杨柳新屯小区网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.047018,30.726799
纵横时代网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.049161,30.726542
汇龙の网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.05963,30.725224
残之缘网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.056613,30.724031
浩丰网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.059413,30.724091
泉水辖区老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.060603,30.725332
天然居,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.062129,30.729007
汉唐战车网城,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.055709,30.724192
星空鑫铉宇网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.067129,30.720187
旻轩网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.065691,30.7231
北港网络会所(三九·绿城北),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.06641,30.722506
午逅网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.075153,30.723195
名流网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.075153,30.723195
凤凰绿茵足球俱乐部,sports,体育休闲服务;运动场馆;足球场,成华区,104.089718,30.722841
兄弟网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.100116,30.728967
百乐门,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.109321,30.724794
喜梦宝,sports,体育休闲服务;休闲场所;游乐场,成华区,104.108086,30.72196
巴克庄园,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.106296,30.722425
卡佩王朝,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.108075,30.722895
白莲三队疗养院,sports,体育休闲服务;度假疗养场所;疗养院,成华区,104.111161,30.727024
鑫达俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.122924,30.724454
银鸽湾生态休闲庄,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.126246,30.725452
一里轩,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.133187,30.727013
飞翔鸟网吧(熊猫大道),sports,体育休闲服务;娱乐场所;网吧,成华区,104.123742,30.724435
丽景茗苑,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.13183,30.726896
两河水郡,sports,体育休闲服务;度假疗养场所;度假村,成华区,104.131929,30.721264
沁园村美食山庄,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.131084,30.725323
东和苑,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.162845,30.722318
熊猫体育公园-小球综合馆,sports,体育休闲服务;运动场馆;运动场所,成华区,104.169176,30.723585
嗨童亲子儿童乐园,sports,体育休闲服务;休闲场所;游乐场,成华区,104.165437,30.719512
桂花林休闲庄,sports,体育休闲服务;休闲场所;休闲场所,成华区,104.175412,30.722779
黄泥巴生态园,sports,体育休闲服务;休闲场所;采摘园,成华区,104.180336,30.72009
小河流水休闲庄,sports,体育休闲服务;休闲场所;休闲场所,金牛区,103.965048,30.716218
成都市棕榈体育发展有限公司,sports,体育休闲服务;高尔夫相关;高尔夫练习场,金牛区,103.973251,30.719338
棕榈高尔夫练习场,sports,体育休闲服务;高尔夫相关;高尔夫练习场,金牛区,103.97293,30.719355
惠民网大院,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.964487,30.718549
