name,category,type,district,wgs_lng,wgs_lat
金牛超群诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.013642,30.726538
金牛华卫诊所(信息园西路),medical,医疗保健服务;诊所;诊所,金牛区,104.004643,30.726067
百姓药业(金青路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.01303,30.726055
本草堂平价药房(通福大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.012998,30.726422
千姿保健品,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.013866,30.727092
成都善道医院门诊部,medical,医疗保健服务;综合医院;综合医院,金牛区,104.015774,30.728178
金牛南洁诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.018364,30.723786
金牛庆华善道牙科诊所,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.0159,30.728218
本草堂(洪发药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.017595,30.724055
康复门诊,medical,医疗保健服务;诊所;诊所,金牛区,104.023791,30.726715
卫达诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.023953,30.725815
瑞御堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.026143,30.723632
李勤中医馆,medical,医疗保健服务;诊所;诊所,金牛区,104.034534,30.722728
欢乐谷医务室,medical,医疗保健服务;诊所;诊所,金牛区,104.033788,30.72546
李勤中医馆健康理疗中心,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.03416,30.722455
洞子口辖区社区卫生服务中心,medical,医疗保健服务;综合医院;卫生院,金牛区,104.05097,30.723369
健齿牙科(新泉路),medical,医疗保健服务;专科医院;口腔医院,金牛区,104.044849,30.71967
清新诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.052636,30.724275
穗铁老医师诊所,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.051148,30.725283
佳宁诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.047939,30.726618
特记口腔牙科,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.052289,30.723334
金牛清星诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.052674,30.724295
仁善堂药店,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.052731,30.72406
益生堂(兴源兴大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.044555,30.719539
成都百信药业(仁善堂药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.052804,30.724109
珂腾健康管理中心(洞子口店),medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.052568,30.72497
鹏安堂大药房(兴元绿洲店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.044661,30.719592
冠瑞高电位治疗机新泉路试用点,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.045382,30.720202
营盛大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.048779,30.726901
红星诊所(凤凰西路),medical,医疗保健服务;诊所;诊所,金牛区,104.063263,30.721887
太极大药房(沙河源药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.056259,30.723697
华康诊所(旺泉街店),medical,医疗保健服务;诊所;诊所,金牛区,104.054252,30.724649
和平西北诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059379,30.726023
金牛名川诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059374,30.725195
精诚诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059866,30.728754
成都金牛余济堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059352,30.724113
金牛区德江药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.054221,30.724399
明山诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.054432,30.723764
金叶传成中医诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.061308,30.725525
优医库吸氧中心,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.059811,30.723634
名流成人用品,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.055679,30.723346
西部医药集团购销大厅,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.057961,30.719749
芙蓉大药房(圣丞店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.059602,30.729054
老苗医养生堂(和平街),medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.061876,30.725266
永康生活馆,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.057029,30.723256
钓鱼岛疼痛康复堂,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.058378,30.723229
四川大学华西口腔医院(朗润路),medical,医疗保健服务;专科医院;口腔医院,金牛区,104.059942,30.728782
琪瑞大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.061874,30.725179
新瑞仁家健康家园,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.062136,30.725507
四川大学华西口腔医院(泉水东路),medical,医疗保健服务;专科医院;口腔医院,金牛区,104.059379,30.724103
四川康贝大药房(金仁堂大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.059379,30.725989
