name,category,type,district,wgs_lng,wgs_lat,weight
武兴酒水行,shopping,购物服务;专卖店;烟酒专卖店,武侯区,103.99207,30.632778,11
川易中天,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.985164,30.6345,1
冠豪智能门窗,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.992045,30.636023,3
便多利超市(武科店),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.992432,30.635388,1
聚友茶坊,shopping,购物服务;专卖店;专营店,武侯区,103.989245,30.638288,9
德力时代,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.984841,30.635418,1
容声橱柜,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.992698,30.636214,8
安溪铁观音,shopping,购物服务;专卖店;专营店,武侯区,103.986994,30.637985,1
此吾安店,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.984648,30.636217,2
蜀信工程机械销售中心,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.986047,30.637513,1
百利玛国际厨卫中心东门,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.992445,30.636709,1
易旅网络科技,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.992937,30.633317,1
袁氏茶楼,shopping,购物服务;专卖店;专营店,武侯区,103.986729,30.63846,1
元鸿超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.98581,30.638036,1
电池超市,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.990842,30.630363,33
亲贝贸易,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.98919,30.639175,2
成都众福制冷配件,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.988619,30.639301,1
三星,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.997751,30.635031,55
哥拉斯眼镜(武侯立交店),shopping,购物服务;专卖店;眼镜店,武侯区,103.999549,30.634023,1
可可屋,shopping,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,武侯区,104.000809,30.634212,37
昶享好,shopping,购物服务;专卖店;专营店,武侯区,103.999573,30.633133,13
你好,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.999035,30.636579,52
沐上花艺,shopping,购物服务;购物相关场所;购物相关场所,武侯区,104.000572,30.635321,1
妈妈之吻,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.996132,30.635343,1
猋宠,shopping,购物服务;专卖店;宠物用品店,武侯区,104.001565,30.636428,8
艾慕芬,shopping,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,武侯区,103.999662,30.631045,19
更兴超市,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.995587,30.636767,15
五粮液(旗舰店),shopping,购物服务;专卖店;专营店,武侯区,104.002882,30.63449,2
天宇副食,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.996921,30.638188,18
果堰农贸市场,shopping,购物服务;综合市场;农副产品市场,武侯区,103.995426,30.637402,5
