name,category,type,district,wgs_lng,wgs_lat,weight
鹰之印,life,生活服务;生活服务场所;生活服务场所,金牛区,104.031281,30.715437,5
菜鸟驿站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.02635,30.715939,5
菜鸟驿站(华侨城一期红旗连锁旁水岸五金店内),life,生活服务;物流速递;物流速递,金牛区,104.027684,30.717201,1
阳平印务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.032961,30.713129,117
宇斌广告,life,生活服务;生活服务场所;生活服务场所,金牛区,104.025857,30.710562,129
鑫尚,life,生活服务;美容美发店;美容美发店,金牛区,104.065786,30.668641,18598
金山快运,life,生活服务;物流速递;物流速递,金牛区,104.033824,30.717517,5
佳佳美发,life,生活服务;美容美发店;美容美发店,金牛区,104.041032,30.713328,1
原野工具配送中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.037469,30.717338,1
开锁换锁芯配钥匙,life,生活服务;生活服务场所;生活服务场所,金牛区,104.041904,30.715538,1
广告公司,life,生活服务;生活服务场所;生活服务场所,金牛区,104.039088,30.717475,1
依莎浴室柜,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.03571,30.7172,2
盛达图文快印,life,生活服务;生活服务场所;生活服务场所,金牛区,104.040419,30.717709,3
MM美甲,life,生活服务;美容美发店;美容美发店,金牛区,104.044924,30.714304,45
伟伟印务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.034476,30.715887,2
天欣驾校报名处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.047795,30.714836,1
自行车租赁点(九里堤西路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.047664,30.713589,1
蜀弘驾校报名点(九里堤北路52号院北),life,生活服务;生活服务场所;生活服务场所,金牛区,104.05058,30.716574,1
菜鸟驿站(五福佳苑2栋1单元103),life,生活服务;物流速递;物流速递,金牛区,104.052246,30.713863,1
睿信地产,life,生活服务;生活服务场所;生活服务场所,金牛区,104.057937,30.71593,10
慕纱,life,生活服务;美容美发店;美容美发店,金牛区,104.067339,30.707776,1342
