community_id,name,district,center_lng,center_lat,polygon_wkt
41,泉水人家3期,金牛区,104.059682,30.734236,"POLYGON ((104.0614705 30.7277063, 104.0577955 30.7280945, 104.0494083 30.7351786, 104.0494212 30.7352514, 104.0521668 30.7381126, 104.060086 30.7424812, 104.0652441 30.7397734, 104.0700589 30.7356539, 104.0623726 30.7280813, 104.0614705 30.7277063))"
42,泉水小区,金牛区,104.059528,30.734291,"POLYGON ((104.0614705 30.7277063, 104.0577955 30.7280945, 104.0494083 30.7351786, 104.0494212 30.7352514, 104.0521668 30.7381126, 104.060086 30.7424812, 104.0652441 30.7397734, 104.0700589 30.7356539, 104.0623726 30.7280813, 104.0614705 30.7277063))"
43,泉水人家2期,金牛区,104.057925,30.72968,"POLYGON ((104.0594834 30.7254353, 104.0525628 30.7284212, 104.0558887 30.7308129, 104.0597711 30.7327102, 104.0623007 30.7327406, 104.0665083 30.727098, 104.0594834 30.7254353))"
44,涵碧天下,金牛区,104.069392,30.737851,"POLYGON ((104.071776 30.7314751, 104.0603004 30.7352813, 104.0695611 30.74194, 104.0726357 30.7431554, 104.0724398 30.7335762, 104.0724108 30.73237, 104.071776 30.7314751))"
45,工疗家园,成华区,104.11224,30.732325,"POLYGON ((104.1121862 30.7250639, 104.1055101 30.7277028, 104.105542 30.7277878, 104.108052 30.7341588, 104.1117411 30.7370194, 104.1121086 30.7370978, 104.114614 30.7364006, 104.116442 30.735876, 104.1161028 30.7326413, 104.1121862 30.7250639))"
46,合家园,成华区,104.116671,30.732609,"POLYGON ((104.1124915 30.7292633, 104.1108339 30.7302815, 104.1104138 30.7311801, 104.1107909 30.7322937, 104.1130376 30.7359725, 104.1134922 30.7362298, 104.114614 30.7364006, 104.116442 30.735876, 104.1196067 30.7315303, 104.1196526 30.7312018, 104.1124915 30.7292633))"
47,保利两河森林,金牛区,103.965376,30.722969,"POLYGON ((103.9692599 30.7171137, 103.9610004 30.7215139, 103.9615379 30.7244239, 103.9637498 30.7259675, 103.9714119 30.7206303, 103.9715768 30.7177678, 103.9692599 30.7171137))"
48,金牛国际社区,金牛区,103.972373,30.729039,"POLYGON ((103.9802246 30.7236094, 103.9780593 30.72584, 103.976442 30.7275061, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9825862 30.7293988, 103.9802246 30.7236094))"
49,北京城建龙樾熙城,金牛区,103.979908,30.724193,"POLYGON ((103.9836957 30.7171601, 103.9801008 30.7178382, 103.9761673 30.7190632, 103.9761444 30.7273545, 103.988379 30.7225857, 103.9866077 30.7179459, 103.9864588 30.7176612, 103.9836957 30.7171601))"
50,龙樾熙城,金牛区,103.979439,30.726072,"POLYGON ((103.9807296 30.7203598, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9847931 30.7311491, 103.9838743 30.7205384, 103.983277 30.7204055, 103.9807296 30.7203598))"
51,橙郡一期,金牛区,103.978269,30.721434,"POLYGON ((103.9815198 30.7158871, 103.9771457 30.7170085, 103.9742501 30.7185249, 103.9780372 30.7231897, 103.9811073 30.7245751, 103.9871437 30.7222267, 103.9866077 30.7179459, 103.9864588 30.7176612, 103.9815198 30.7158871))"
52,中海国际社区北门,金牛区,103.976073,30.727406,"POLYGON ((103.983277 30.7204055, 103.9798852 30.7213662, 103.9780372 30.7231897, 103.9761444 30.7273545, 103.9836137 30.721202, 103.983277 30.7204055))"
53,精城国际,金牛区,103.982547,30.721901,"POLYGON ((103.9863406 30.7145505, 103.9800819 30.7154399, 103.9742501 30.7185249, 103.9737844 30.7195367, 103.9761444 30.7273545, 103.9775456 30.7283027, 103.9805047 30.7277647, 103.9925277 30.7237599, 103.9922709 30.7224778, 103.9886477 30.7170953, 103.9863406 30.7145505))"
54,保利学府城(建设中),金牛区,103.993378,30.728738,"POLYGON ((104.0010428 30.7218322, 103.9971549 30.7226172, 103.9943695 30.7292114, 104.003528 30.7269661, 104.0010428 30.7218322))"
55,互助社区,金牛区,103.991554,30.723705,"POLYGON ((103.9884405 30.7168756, 103.9807296 30.7203598, 103.9875931 30.728204, 103.9876282 30.7282343, 104.0006113 30.7261406, 103.9995205 30.7170225, 103.9884405 30.7168756))"
56,互助家园安置小区,金牛区,103.991473,30.726511,"POLYGON ((103.9922108 30.719067, 103.9867792 30.7201356, 103.9836137 30.721202, 103.9847506 30.7311079, 103.9847931 30.7311491, 104.0006113 30.7261406, 103.9998746 30.7241294, 103.9970527 30.7194054, 103.9922108 30.719067))"
57,金华花园(金周路),金牛区,104.001667,30.726261,"POLYGON ((103.9970527 30.7194054, 103.9910073 30.723333, 103.9919965 30.7252177, 103.9943695 30.7292114, 103.9992751 30.7314242, 104.0101505 30.7303124, 104.0096792 30.7272399, 104.0080818 30.720116, 103.9970527 30.7194054))"
58,金盾苑,金牛区,104.003585,30.723294,"POLYGON ((104.0106957 30.7165062, 103.9952636 30.7178556, 103.9956069 30.7284739, 104.0009337 30.7302252, 104.0030311 30.7304396, 104.0064549 30.7302113, 104.0122266 30.7286988, 104.0123523 30.7286158, 104.0122401 30.7257214, 104.0106957 30.7165062))"
59,万科·国宝润园,金牛区,104.001919,30.720434,"POLYGON ((104.005345 30.7123557, 103.9960378 30.715437, 103.9943604 30.7167403, 103.9942523 30.7168305, 103.9956069 30.7284739, 104.0083531 30.7265421, 104.0099556 30.7236409, 104.0101187 30.7209733, 104.0093265 30.7184069, 104.0080765 30.7155022, 104.0054782 30.7124187, 104.005345 30.7123557))"
60,金泉街道土桥社区,金牛区,103.999165,30.726021,"POLYGON ((103.9983863 30.7180971, 103.988379 30.7225857, 103.9943695 30.7292114, 103.9992751 30.7314242, 104.0015894 30.7309732, 104.0080212 30.7289753, 104.0083531 30.7265421, 104.0077001 30.7237159, 104.0038596 30.7182033, 104.0037161 30.7181424, 103.9983863 30.7180971))"
61,万科国宾润园,金牛区,104.001326,30.71975,"POLYGON ((104.005345 30.7123557, 103.9960378 30.715437, 103.9943604 30.7167403, 103.9942523 30.7168305, 103.9956069 30.7284739, 104.0083531 30.7265421, 104.0099556 30.7236409, 104.0101187 30.7209733, 104.0093265 30.7184069, 104.0080765 30.7155022, 104.0054782 30.7124187, 104.005345 30.7123557))"
62,鑫房名苑,金牛区,103.999175,30.726494,"POLYGON ((103.9983863 30.7180971, 103.988379 30.7225857, 103.9943695 30.7292114, 103.9992751 30.7314242, 104.0015894 30.7309732, 104.0080212 30.7289753, 104.0083531 30.7265421, 104.0077001 30.7237159, 104.0038596 30.7182033, 104.0037161 30.7181424, 103.9983863 30.7180971))"
63,保利学府城,金牛区,104.001962,30.728439,"POLYGON ((104.0010428 30.7218322, 103.9971549 30.7226172, 103.9956069 30.7284739, 103.9992751 30.7314242, 104.0101505 30.7303124, 104.0096792 30.7272399, 104.0091012 30.7253262, 104.0077001 30.7237159, 104.0050797 30.7226642, 104.0010428 30.7218322))"
64,中成主角,金牛区,104.000435,30.726802,"POLYGON ((103.9970527 30.7194054, 103.9910073 30.723333, 103.9919965 30.7252177, 103.9943695 30.7292114, 103.9992751 30.7314242, 104.0101505 30.7303124, 104.0096792 30.7272399, 104.0080818 30.720116, 103.9970527 30.7194054))"
65,正成·拉斐3期,金牛区,103.996985,30.721028,"POLYGON ((103.9979999 30.7137606, 103.9927411 30.7138716, 103.9917352 30.7145345, 103.9910073 30.723333, 104.0006113 30.7261406, 104.003528 30.7269661, 104.0070523 30.7260621, 104.0071113 30.7259242, 104.0077001 30.7237159, 104.0061628 30.7191939, 104.0043074 30.7161067, 104.0042032 30.7160589, 104.0013038 30.7147639, 103.9979999 30.7137606))"
66,新房民苑,金牛区,103.999554,30.726246,"POLYGON ((103.9983863 30.7180971, 103.988379 30.7225857, 103.9943695 30.7292114, 103.9992751 30.7314242, 104.0015894 30.7309732, 104.0080212 30.7289753, 104.0083531 30.7265421, 104.0077001 30.7237159, 104.0038596 30.7182033, 104.0037161 30.7181424, 103.9983863 30.7180971))"
67,正成·拉斐2期,金牛区,103.997508,30.721894,"POLYGON ((103.9960378 30.715437, 103.9943604 30.7167403, 103.9942523 30.7168305, 103.9922709 30.7224778, 103.9924782 30.7237459, 103.9943695 30.7292114, 104.0014906 30.7290449, 104.002725 30.7279221, 104.0054381 30.7251115, 104.0050797 30.7226642, 104.0038596 30.7182033, 104.0005616 30.7160362, 103.9960378 30.715437))"
68,迪舒·美领,金牛区,104.003427,30.720509,"POLYGON ((104.0089683 30.7137434, 104.0042515 30.713988, 103.9960378 30.715437, 103.9952636 30.7178556, 103.9973368 30.7242403, 103.9981796 30.7253761, 104.002725 30.7279221, 104.0063514 30.7279268, 104.009591 30.7273705, 104.0096792 30.7272399, 104.0112251 30.7249503, 104.0106957 30.7165062, 104.0089683 30.7137434))"
69,正成·拉斐,金牛区,103.996287,30.721537,"POLYGON ((103.9960378 30.715437, 103.9943604 30.7167403, 103.9942523 30.7168305, 103.9922709 30.7224778, 103.9924782 30.7237459, 103.9943695 30.7292114, 104.0014906 30.7290449, 104.002725 30.7279221, 104.0054381 30.7251115, 104.0050797 30.7226642, 104.0038596 30.7182033, 104.0005616 30.7160362, 103.9960378 30.715437))"
70,东原·亲亲里,金牛区,104.001444,30.723754,"POLYGON ((104.0061628 30.7191939, 103.9998528 30.7196968, 103.9986029 30.7209794, 103.9971549 30.7226172, 103.9973368 30.7242403, 103.9981796 30.7253761, 104.002725 30.7279221, 104.0063514 30.7279268, 104.009591 30.7273705, 104.0096792 30.7272399, 104.0080818 30.720116, 104.0061628 30.7191939))"
71,西城上域,金牛区,104.006304,30.726747,"POLYGON ((104.0093265 30.7184069, 103.9986029 30.7209794, 103.9985068 30.721092, 103.9981796 30.7253761, 103.9997093 30.7311103, 104.004492 30.7317672, 104.0078173 30.7321394, 104.0124015 30.7316147, 104.0144676 30.7299882, 104.014571 30.7298945, 104.0135085 30.7215484, 104.0093265 30.7184069))"
72,西华街道金牛社区,金牛区,104.011228,30.725145,"POLYGON ((104.0128902 30.7174395, 104.0061628 30.7191939, 104.0032403 30.7217675, 104.003528 30.7269661, 104.004492 30.7317672, 104.0078173 30.7321394, 104.0124015 30.7316147, 104.0192309 30.7299997, 104.0190601 30.7227882, 104.0129537 30.7174779, 104.0128902 30.7174395))"
